MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-368.1865,156.1477,-21.21108,16.620136,17.320278,-10.729135,12.791746,-5.5856695,-18.4548,-0.47996932,-11.618694,-9.5891,2.6077251
-370.88123,154.031,-20.55209,16.451174,13.064849,-15.720912,11.288905,-5.291477,-18.111374,0.07910454,-13.638254,-14.167974,0.0035728812
-373.43835,152.76999,-22.690311,11.893438,10.165754,-21.206593,6.367036,-3.2040172,-15.729118,2.053059,-9.115326,-12.026775,1.6173725
-374.43594,151.2243,-21.864502,17.444828,17.048086,-17.94343,4.5392833,-7.9341927,-20.844429,-1.3509753,-8.270988,-9.76332,1.38445
-372.9442,151.24231,-20.341799,22.04398,17.122648,-19.535145,6.786465,-4.8941984,-17.109993,2.4083128,-7.359064,-10.228778,-0.41856554
-373.86203,149.99788,-20.568062,20.541845,14.062155,-15.685471,16.991367,1.0017905,-16.399876,1.8836675,-8.674223,-10.764823,-1.638854
-375.85535,147.82039,-22.789396,17.76198,11.49107,-19.767647,13.569778,4.449359,-10.187454,1.6656477,-12.488745,-9.439343,4.326002
-376.44778,147.25867,-23.729794,18.301197,14.169266,-21.253036,7.59885,-0.853657,-15.580408,-2.2354755,-9.709351,-3.0256727,8.0244055
-378.11154,147.90976,-22.140713,15.982611,13.663068,-16.467907,11.5263195,-0.57657903,-15.806808,-1.1981163,-8.877524,-4.9810905,5.470732
-378.7395,148.59021,-17.746595,20.330572,12.8872595,-18.378662,13.072779,2.6200848,-11.046561,4.0526123,-9.887613,-11.774659,1.7194492
-372.68842,155.51001,-12.351835,27.099976,18.207966,-19.16576,9.763521,0.8458232,-13.241554,0.35821277,-12.965128,-11.52776,2.3793292
-369.72723,156.0894,-17.191595,22.937252,21.109425,-11.946999,11.16708,-4.0328355,-14.169287,5.978711,-7.3166776,-11.029076,-1.8764279
-369.6655,154.74464,-22.240576,17.790525,22.380035,-9.123405,8.935378,-4.4064593,-11.198501,4.464014,-10.086435,-10.6281395,-0.6166005
-369.45676,154.16371,-23.102398,18.970606,22.362469,-13.83967,5.1144085,-5.9264474,-16.416023,-1.7283883,-12.228445,-11.098261,-0.72626966
